Instruction Name,Description,Url
CBNZ, Compare and Branch on Nonzero.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CBNZ--Compare-and-Branch-on-Nonzero-?lang=en
CBZ, Compare and Branch on Zero.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CBZ--Compare-and-Branch-on-Zero-?lang=en
CCMN (immediate), Conditional Compare Negative (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CCMN--immediate---Conditional-Compare-Negative--immediate--?lang=en
CCMN (register), Conditional Compare Negative (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CCMN--register---Conditional-Compare-Negative--register--?lang=en
CCMP (immediate), Conditional Compare (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CCMP--immediate---Conditional-Compare--immediate--?lang=en
CCMP (register), Conditional Compare (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CCMP--register---Conditional-Compare--register--?lang=en
CFINV, Invert Carry Flag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CFINV--Invert-Carry-Flag-?lang=en
CFP, Control Flow Prediction Restriction by Context: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CFP--Control-Flow-Prediction-Restriction-by-Context--an-alias-of-SYS-?lang=en
CINC, Conditional Increment: an alias of CSINC.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CINC--Conditional-Increment--an-alias-of-CSINC-?lang=en
CINV, Conditional Invert: an alias of CSINV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CINV--Conditional-Invert--an-alias-of-CSINV-?lang=en
CLREX, Clear Exclusive.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CLREX--Clear-Exclusive-?lang=en
CLS, Count Leading Sign bits.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CLS--Count-Leading-Sign-bits-?lang=en
CLZ, Count Leading Zeros.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CLZ--Count-Leading-Zeros-?lang=en
CMN (extended register), Compare Negative (extended register): an alias of ADDS (extended register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMN--extended-register---Compare-Negative--extended-register---an-alias-of-ADDS--extended-register--?lang=en
CMN (immediate), Compare Negative (immediate): an alias of ADDS (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMN--immediate---Compare-Negative--immediate---an-alias-of-ADDS--immediate--?lang=en
CMN (shifted register), Compare Negative (shifted register): an alias of ADDS (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMN--shifted-register---Compare-Negative--shifted-register---an-alias-of-ADDS--shifted-register--?lang=en
CMP (extended register), Compare (extended register): an alias of SUBS (extended register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMP--extended-register---Compare--extended-register---an-alias-of-SUBS--extended-register--?lang=en
CMP (immediate), Compare (immediate): an alias of SUBS (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMP--immediate---Compare--immediate---an-alias-of-SUBS--immediate--?lang=en
CMP (shifted register), Compare (shifted register): an alias of SUBS (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMP--shifted-register---Compare--shifted-register---an-alias-of-SUBS--shifted-register--?lang=en
CMPP, Compare with Tag: an alias of SUBPS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CMPP--Compare-with-Tag--an-alias-of-SUBPS-?lang=en
CNEG, Conditional Negate: an alias of CSNEG.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CNEG--Conditional-Negate--an-alias-of-CSNEG-?lang=en
CPP, Cache Prefetch Prediction Restriction by Context: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CPP--Cache-Prefetch-Prediction-Restriction-by-Context--an-alias-of-SYS-?lang=en
"CRC32B, CRC32H, CRC32W, CRC32X", CRC32 checksum.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CRC32B--CRC32H--CRC32W--CRC32X--CRC32-checksum-?lang=en
"CRC32CB, CRC32CH, CRC32CW, CRC32CX", CRC32C checksum.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CRC32CB--CRC32CH--CRC32CW--CRC32CX--CRC32C-checksum-?lang=en
CSDB, Consumption of Speculative Data Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSDB--Consumption-of-Speculative-Data-Barrier-?lang=en
CSEL, Conditional Select.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSEL--Conditional-Select-?lang=en
CSET, Conditional Set: an alias of CSINC.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSET--Conditional-Set--an-alias-of-CSINC-?lang=en
CSETM, Conditional Set Mask: an alias of CSINV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSETM--Conditional-Set-Mask--an-alias-of-CSINV-?lang=en
CSINC, Conditional Select Increment.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSINC--Conditional-Select-Increment-?lang=en
CSINV, Conditional Select Invert.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSINV--Conditional-Select-Invert-?lang=en
CSNEG, Conditional Select Negation.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/CSNEG--Conditional-Select-Negation-?lang=en
DC, Data Cache operation: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DC--Data-Cache-operation--an-alias-of-SYS-?lang=en
DCPS1, Debug Change PE State to EL1..,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DCPS1--Debug-Change-PE-State-to-EL1--?lang=en
DCPS2, Debug Change PE State to EL2..,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DCPS2--Debug-Change-PE-State-to-EL2--?lang=en
DCPS3, Debug Change PE State to EL3.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DCPS3--Debug-Change-PE-State-to-EL3-?lang=en
DGH, Data Gathering Hint.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DGH--Data-Gathering-Hint-?lang=en
DMB, Data Memory Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DMB--Data-Memory-Barrier-?lang=en
DRPS, Debug restore process state.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DRPS--Debug-restore-process-state-?lang=en
DSB, Data Synchronization Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DSB--Data-Synchronization-Barrier-?lang=en
DVP, Data Value Prediction Restriction by Context: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/DVP--Data-Value-Prediction-Restriction-by-Context--an-alias-of-SYS-?lang=en
EON (shifted register), Bitwise Exclusive OR NOT (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/EON--shifted-register---Bitwise-Exclusive-OR-NOT--shifted-register--?lang=en
EOR (immediate), Bitwise Exclusive OR (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/EOR--immediate---Bitwise-Exclusive-OR--immediate--?lang=en
EOR (shifted register), Bitwise Exclusive OR (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/EOR--shifted-register---Bitwise-Exclusive-OR--shifted-register--?lang=en
ERET, Exception Return.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ERET--Exception-Return-?lang=en
"ERETAA, ERETAB"," Exception Return, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ERETAA--ERETAB--Exception-Return--with-pointer-authentication-?lang=en
ESB, Error Synchronization Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ESB--Error-Synchronization-Barrier-?lang=en
EXTR, Extract register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/EXTR--Extract-register-?lang=en
GMI, Tag Mask Insert.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/GMI--Tag-Mask-Insert-?lang=en
HINT, Hint instruction.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/HINT--Hint-instruction-?lang=en
HLT, Halt instruction.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/HLT--Halt-instruction-?lang=en
HVC, Hypervisor Call.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/HVC--Hypervisor-Call-?lang=en
IC, Instruction Cache operation: an alias of SYS.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/IC--Instruction-Cache-operation--an-alias-of-SYS-?lang=en
IRG, Insert Random Tag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/IRG--Insert-Random-Tag-?lang=en
ISB, Instruction Synchronization Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ISB--Instruction-Synchronization-Barrier-?lang=en
LD64B, Single-copy Atomic 64-byte Load.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LD64B--Single-copy-Atomic-64-byte-Load-?lang=en
"LDADD, LDADDA, LDADDAL, LDADDL", Atomic add on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDADD--LDADDA--LDADDAL--LDADDL--Atomic-add-on-word-or-doubleword-in-memory-?lang=en
"LDADDB, LDADDAB, LDADDALB, LDADDLB", Atomic add on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDADDB--LDADDAB--LDADDALB--LDADDLB--Atomic-add-on-byte-in-memory-?lang=en
"LDADDH, LDADDAH, LDADDALH, LDADDLH", Atomic add on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDADDH--LDADDAH--LDADDALH--LDADDLH--Atomic-add-on-halfword-in-memory-?lang=en
LDAPR, Load-Acquire RCpc Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPR--Load-Acquire-RCpc-Register-?lang=en
LDAPRB, Load-Acquire RCpc Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPRB--Load-Acquire-RCpc-Register-Byte-?lang=en
LDAPRH, Load-Acquire RCpc Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPRH--Load-Acquire-RCpc-Register-Halfword-?lang=en
LDAPUR, Load-Acquire RCpc Register (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPUR--Load-Acquire-RCpc-Register--unscaled--?lang=en
LDAPURB, Load-Acquire RCpc Register Byte (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPURB--Load-Acquire-RCpc-Register-Byte--unscaled--?lang=en
LDAPURH, Load-Acquire RCpc Register Halfword (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPURH--Load-Acquire-RCpc-Register-Halfword--unscaled--?lang=en
LDAPURSB, Load-Acquire RCpc Register Signed Byte (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPURSB--Load-Acquire-RCpc-Register-Signed-Byte--unscaled--?lang=en
LDAPURSH, Load-Acquire RCpc Register Signed Halfword (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPURSH--Load-Acquire-RCpc-Register-Signed-Halfword--unscaled--?lang=en
LDAPURSW, Load-Acquire RCpc Register Signed Word (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAPURSW--Load-Acquire-RCpc-Register-Signed-Word--unscaled--?lang=en
LDAR, Load-Acquire Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAR--Load-Acquire-Register-?lang=en
LDARB, Load-Acquire Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDARB--Load-Acquire-Register-Byte-?lang=en
LDARH, Load-Acquire Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDARH--Load-Acquire-Register-Halfword-?lang=en
LDAXP, Load-Acquire Exclusive Pair of Registers.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAXP--Load-Acquire-Exclusive-Pair-of-Registers-?lang=en
LDAXR, Load-Acquire Exclusive Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAXR--Load-Acquire-Exclusive-Register-?lang=en
LDAXRB, Load-Acquire Exclusive Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAXRB--Load-Acquire-Exclusive-Register-Byte-?lang=en
LDAXRH, Load-Acquire Exclusive Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDAXRH--Load-Acquire-Exclusive-Register-Halfword-?lang=en
"LDCLR, LDCLRA, LDCLRAL, LDCLRL", Atomic bit clear on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDCLR--LDCLRA--LDCLRAL--LDCLRL--Atomic-bit-clear-on-word-or-doubleword-in-memory-?lang=en
"LDCLRB, LDCLRAB, LDCLRALB, LDCLRLB", Atomic bit clear on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDCLRB--LDCLRAB--LDCLRALB--LDCLRLB--Atomic-bit-clear-on-byte-in-memory-?lang=en
"LDCLRH, LDCLRAH, LDCLRALH, LDCLRLH", Atomic bit clear on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDCLRH--LDCLRAH--LDCLRALH--LDCLRLH--Atomic-bit-clear-on-halfword-in-memory-?lang=en
"LDEOR, LDEORA, LDEORAL, LDEORL", Atomic exclusive OR on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDEOR--LDEORA--LDEORAL--LDEORL--Atomic-exclusive-OR-on-word-or-doubleword-in-memory-?lang=en
"LDEORB, LDEORAB, LDEORALB, LDEORLB", Atomic exclusive OR on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDEORB--LDEORAB--LDEORALB--LDEORLB--Atomic-exclusive-OR-on-byte-in-memory-?lang=en
"LDEORH, LDEORAH, LDEORALH, LDEORLH", Atomic exclusive OR on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDEORH--LDEORAH--LDEORALH--LDEORLH--Atomic-exclusive-OR-on-halfword-in-memory-?lang=en
LDG, Load Allocation Tag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDG--Load-Allocation-Tag-?lang=en
LDGM, Load Tag Multiple.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDGM--Load-Tag-Multiple-?lang=en
LDLAR, Load LOAcquire Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLAR--Load-LOAcquire-Register-?lang=en
LDLARB, Load LOAcquire Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLARB--Load-LOAcquire-Register-Byte-?lang=en
LDLARH, Load LOAcquire Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLARH--Load-LOAcquire-Register-Halfword-?lang=en
LDNP," Load Pair of Registers, with non-temporal hint.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDNP--Load-Pair-of-Registers--with-non-temporal-hint-?lang=en
LDP, Load Pair of Registers.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDP--Load-Pair-of-Registers-?lang=en
LDPSW, Load Pair of Registers Signed Word.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDPSW--Load-Pair-of-Registers-Signed-Word-?lang=en
LDR (immediate), Load Register (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--immediate---Load-Register--immediate--?lang=en
LDR (literal), Load Register (literal).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--literal---Load-Register--literal--?lang=en
LDR (register), Load Register (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--register---Load-Register--register--?lang=en
"LDRAA, LDRAB"," Load Register, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRAA--LDRAB--Load-Register--with-pointer-authentication-?lang=en
LDRB (immediate), Load Register Byte (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRB--immediate---Load-Register-Byte--immediate--?lang=en
LDRB (register), Load Register Byte (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRB--register---Load-Register-Byte--register--?lang=en
LDRH (immediate), Load Register Halfword (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRH--immediate---Load-Register-Halfword--immediate--?lang=en
LDRH (register), Load Register Halfword (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRH--register---Load-Register-Halfword--register--?lang=en
LDRSB (immediate), Load Register Signed Byte (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSB--immediate---Load-Register-Signed-Byte--immediate--?lang=en
LDRSB (register), Load Register Signed Byte (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSB--register---Load-Register-Signed-Byte--register--?lang=en
LDRSH (immediate), Load Register Signed Halfword (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSH--immediate---Load-Register-Signed-Halfword--immediate--?lang=en
LDRSH (register), Load Register Signed Halfword (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSH--register---Load-Register-Signed-Halfword--register--?lang=en
LDRSW (immediate), Load Register Signed Word (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--immediate---Load-Register-Signed-Word--immediate--?lang=en
LDRSW (literal), Load Register Signed Word (literal).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--literal---Load-Register-Signed-Word--literal--?lang=en
LDRSW (register), Load Register Signed Word (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--register---Load-Register-Signed-Word--register--?lang=en
"LDSET, LDSETA, LDSETAL, LDSETL", Atomic bit set on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSET--LDSETA--LDSETAL--LDSETL--Atomic-bit-set-on-word-or-doubleword-in-memory-?lang=en
"LDSETB, LDSETAB, LDSETALB, LDSETLB", Atomic bit set on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSETB--LDSETAB--LDSETALB--LDSETLB--Atomic-bit-set-on-byte-in-memory-?lang=en
"LDSETH, LDSETAH, LDSETALH, LDSETLH", Atomic bit set on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSETH--LDSETAH--LDSETALH--LDSETLH--Atomic-bit-set-on-halfword-in-memory-?lang=en
"LDSMAX, LDSMAXA, LDSMAXAL, LDSMAXL", Atomic signed maximum on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMAX--LDSMAXA--LDSMAXAL--LDSMAXL--Atomic-signed-maximum-on-word-or-doubleword-in-memory-?lang=en
"LDSMAXB, LDSMAXAB, LDSMAXALB, LDSMAXLB", Atomic signed maximum on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMAXB--LDSMAXAB--LDSMAXALB--LDSMAXLB--Atomic-signed-maximum-on-byte-in-memory-?lang=en
